customer_id,age_range,marital_status,family_size,income_bracket
530,36-45,Unknown,2,12
531,60+,Unknown,1,1
532,60+,Divorced,2,7
533,46-60,Single,2,2
534,26-35,Single,3,8
535,60+,Married,1,11
536,26-35,Divorced,5,6
537,60+,Single,1,10
538,18-25,Married,4,10
539,36-45,Unknown,4,12
540,46-60,Married,5,9
541,46-60,Unknown,1,3
542,36-45,Single,1,2
543,26-35,Single,2,9
544,46-60,Single,2,2
545,36-45,Unknown,3,6
546,36-45,Unknown,4,3
547,36-45,Single,4,10
548,26-35,Single,2,7
549,18-25,Single,1,7
550,18-25,Unknown,4,4
551,60+,Married,1,9
552,26-35,Single,5,3
553,60+,Unknown,3,3
554,36-45,Married,1,11
555,36-45,Single,4,3
556,26-35,Single,3,5
557,18-25,Single,5,4
558,26-35,Single,3,5
559,60+,Married,4,4
560,18-25,Unknown,3,8
561,46-60,Divorced,5,12
562,18-25,Divorced,5,10
563,26-35,Divorced,3,1
564,60+,Single,1,4
565,26-35,Divorced,5,1
566,26-35,Single,3,8
567,26-35,Single,1,1
568,36-45,Unknown,2,9
569,36-45,Divorced,3,1
570,60+,Single,3,2
571,36-45,Unknown,2,4
572,36-45,Unknown,1,7
573,18-25,Married,1,7
574,36-45,Unknown,5,10
575,26-35,Single,3,5
576,60+,Single,5,3
577,60+,Unknown,4,6
578,46-60,Married,1,10
579,26-35,Married,5,12
580,60+,Single,5,9
581,46-60,Unknown,3,12
582,60+,Married,1,4
583,46-60,Unknown,2,4
584,18-25,Married,2,10
585,36-45,Married,1,10
586,36-45,Divorced,1,2
587,60+,Married,3,8
588,46-60,Married,2,7
589,46-60,Divorced,5,12
590,60+,Divorced,5,2
591,36-45,Divorced,1,6
592,26-35,Single,5,12
593,60+,Single,4,3
594,18-25,Single,3,12
595,18-25,Married,5,9
596,18-25,Married,3,12
597,26-35,Divorced,4,11
598,36-45,Unknown,1,8
599,36-45,Unknown,2,7
600,46-60,Married,2,6
601,18-25,Single,5,3
602,18-25,Unknown,1,6
603,26-35,Unknown,2,12
604,18-25,Single,2,3
605,60+,Married,3,8
606,18-25,Unknown,1,7
607,36-45,Divorced,2,5
608,60+,Single,5,3
609,60+,Unknown,5,1
610,46-60,Single,3,9
611,60+,Unknown,5,2
612,26-35,Single,2,2
613,18-25,Unknown,1,3
614,46-60,Married,5,9
615,36-45,Single,1,2
616,36-45,Married,3,8
617,46-60,Single,4,4
618,46-60,Unknown,4,10
619,46-60,Divorced,2,2
620,60+,Single,4,9
621,26-35,Married,4,6
622,36-45,Divorced,2,12
623,60+,Married,1,5
624,36-45,Divorced,1,6
625,60+,Divorced,4,8
626,26-35,Single,1,5
627,36-45,Married,4,7
628,18-25,Unknown,5,3
629,36-45,Unknown,3,7
630,18-25,Married,2,7
631,26-35,Single,1,3
632,36-45,Divorced,5,5
633,18-25,Married,2,12
634,46-60,Married,2,9
635,18-25,Single,4,3
636,26-35,Divorced,2,5
637,18-25,Unknown,2,3
638,18-25,Single,4,10
639,26-35,Married,1,9
640,18-25,Divorced,2,6
641,26-35,Unknown,2,2
642,18-25,Unknown,5,5
643,46-60,Unknown,2,12
644,46-60,Single,2,9
645,18-25,Single,3,4
646,18-25,Married,3,11
647,36-45,Single,3,8
648,60+,Married,2,6
649,18-25,Single,2,8
650,26-35,Married,2,2
651,36-45,Single,1,12
652,36-45,Single,5,11
653,60+,Unknown,1,9
654,46-60,Married,5,1
655,36-45,Unknown,1,1
656,26-35,Single,2,11
657,46-60,Divorced,3,11
658,46-60,Single,1,10
659,36-45,Single,4,2
660,36-45,Married,1,12
661,26-35,Single,3,9
662,26-35,Married,4,4
663,26-35,Married,1,11
664,60+,Unknown,1,9
665,46-60,Unknown,1,4
666,36-45,Married,4,5
667,18-25,Divorced,4,12
668,60+,Married,2,5
669,46-60,Unknown,4,11
670,18-25,Single,5,6
671,46-60,Divorced,5,4
672,26-35,Divorced,3,12
673,46-60,Divorced,5,7
674,60+,Divorced,2,8
675,36-45,Single,4,7
676,26-35,Married,5,8
677,60+,Unknown,3,2
678,26-35,Divorced,3,11
679,46-60,Single,1,9
680,26-35,Unknown,2,6
681,60+,Single,4,6
682,46-60,Divorced,3,6
683,46-60,Divorced,2,5
684,36-45,Single,5,10
685,26-35,Single,5,12
686,26-35,Divorced,1,6
687,46-60,Married,5,11
688,60+,Married,5,11
689,46-60,Single,4,7
690,46-60,Unknown,4,1
691,36-45,Married,3,11
692,18-25,Single,5,12
693,46-60,Unknown,2,7
694,46-60,Unknown,1,1
695,36-45,Divorced,2,12
696,46-60,Married,1,10
697,60+,Single,1,8
698,36-45,Single,3,4
699,36-45,Married,3,9
700,36-45,Divorced,4,10
701,36-45,Unknown,1,2
702,60+,Divorced,2,2
703,60+,Divorced,4,6
704,36-45,Married,4,8
705,46-60,Married,1,2
706,60+,Married,2,4
707,18-25,Married,5,8
708,36-45,Married,2,10
709,36-45,Single,2,5
710,46-60,Unknown,4,2
711,46-60,Divorced,5,6
712,26-35,Single,3,8
713,46-60,Single,4,3
714,46-60,Married,1,1
715,36-45,Divorced,4,2
716,46-60,Divorced,2,4
717,46-60,Married,4,2
718,26-35,Divorced,3,11
719,60+,Unknown,3,10
720,36-45,Married,3,8
721,36-45,Single,2,6
722,18-25,Married,2,5
723,18-25,Divorced,4,6
724,46-60,Single,2,1
725,46-60,Married,4,9
726,36-45,Married,3,4
727,18-25,Unknown,3,11
728,18-25,Single,5,8
729,18-25,Divorced,4,5
730,46-60,Single,3,5
731,26-35,Unknown,2,4
732,26-35,Single,5,9
733,26-35,Divorced,4,12
734,26-35,Divorced,1,5
735,46-60,Single,1,4
736,46-60,Married,1,2
737,18-25,Divorced,3,10
738,46-60,Unknown,2,2
739,26-35,Single,5,3
740,26-35,Single,1,9
741,26-35,Divorced,3,8
742,26-35,Divorced,4,5
743,60+,Single,5,2
744,60+,Single,5,3
745,46-60,Married,3,12
746,36-45,Married,2,5
747,18-25,Married,1,3
748,46-60,Married,1,12
749,36-45,Divorced,1,10
750,46-60,Single,1,5
751,36-45,Single,5,7
752,60+,Married,1,7
753,36-45,Unknown,4,7
754,36-45,Single,2,7
755,60+,Unknown,2,11
756,36-45,Single,1,2
757,18-25,Divorced,5,12
758,26-35,Divorced,1,2
759,18-25,Unknown,3,2
760,36-45,Married,5,2
761,18-25,Unknown,1,5
762,26-35,Married,3,10
763,18-25,Divorced,5,5
764,36-45,Unknown,1,8
765,46-60,Unknown,1,11
766,36-45,Divorced,2,7
767,26-35,Unknown,2,7
768,18-25,Divorced,5,12
769,60+,Divorced,1,7
770,60+,Married,1,3
771,26-35,Single,3,11
772,46-60,Divorced,3,10
773,46-60,Unknown,4,1
774,60+,Divorced,3,9
775,46-60,Unknown,3,11
776,46-60,Married,5,7
777,26-35,Unknown,3,9
778,26-35,Single,2,10
779,36-45,Married,1,7
780,26-35,Single,1,1
781,46-60,Divorced,1,10
782,26-35,Married,1,6
783,36-45,Divorced,3,10
784,26-35,Divorced,5,1
785,60+,Single,4,9
786,18-25,Single,1,6
787,46-60,Single,3,7
788,46-60,Married,5,5
789,26-35,Married,2,5
790,18-25,Married,1,9
791,18-25,Single,5,6
792,18-25,Divorced,2,12
793,36-45,Divorced,5,4
794,26-35,Unknown,1,6
795,36-45,Divorced,2,12
796,26-35,Divorced,4,4
797,18-25,Single,4,6
798,60+,Divorced,2,6
799,18-25,Divorced,3,9
800,36-45,Married,2,1
801,46-60,Unknown,3,1
802,60+,Single,4,11
803,18-25,Married,5,5
804,46-60,Unknown,4,12
805,36-45,Single,3,4
806,26-35,Unknown,1,7
807,26-35,Divorced,3,4
808,18-25,Divorced,5,9
809,60+,Divorced,3,11
810,46-60,Married,1,2
811,36-45,Married,4,11
812,26-35,Divorced,5,4
813,26-35,Single,4,9
814,36-45,Single,2,4
815,36-45,Divorced,2,2
816,18-25,Single,3,5
817,36-45,Married,5,5
818,26-35,Single,4,3
819,18-25,Single,3,4
820,26-35,Unknown,3,9
821,18-25,Unknown,1,7
822,60+,Married,2,2
823,60+,Married,4,12
824,60+,Single,4,1
825,60+,Unknown,4,2
826,26-35,Married,4,8
827,18-25,Unknown,4,10
828,46-60,Single,5,8
829,46-60,Single,1,1
830,46-60,Unknown,4,4
831,36-45,Unknown,2,12
832,36-45,Married,4,3
833,18-25,Married,1,12
834,60+,Unknown,5,6
835,60+,Unknown,5,7
836,26-35,Divorced,3,10
837,36-45,Single,3,2
838,46-60,Married,4,11
839,60+,Single,2,11
840,18-25,Unknown,4,4
841,60+,Single,2,5
842,18-25,Married,2,9
843,46-60,Unknown,5,11
844,60+,Married,2,9
845,60+,Divorced,3,2
846,26-35,Unknown,2,5
847,60+,Unknown,1,7
848,60+,Married,3,9
849,46-60,Unknown,3,1
850,36-45,Married,5,12
851,36-45,Unknown,4,3
852,60+,Unknown,3,10
853,36-45,Unknown,3,11
854,46-60,Married,5,3
855,60+,Married,1,2
856,26-35,Single,5,3
857,36-45,Single,2,8
858,26-35,Divorced,5,4
859,60+,Single,5,12
860,46-60,Divorced,5,1
861,26-35,Unknown,2,12
862,60+,Married,1,12
863,26-35,Divorced,4,7
864,60+,Single,1,12
865,60+,Unknown,5,11
866,26-35,Divorced,4,4
867,60+,Married,5,1
868,36-45,Unknown,2,5
869,60+,Divorced,5,2
870,60+,Unknown,2,7
871,18-25,Single,5,9
872,46-60,Married,2,2
873,26-35,Unknown,3,10
874,36-45,Divorced,5,12
875,60+,Married,1,8
876,46-60,Divorced,2,8
877,18-25,Divorced,2,1
878,60+,Divorced,2,6
879,46-60,Single,1,11
880,26-35,Unknown,5,3
881,18-25,Married,3,6
882,46-60,Divorced,1,7
883,46-60,Divorced,5,4
884,36-45,Divorced,3,5
885,46-60,Single,1,2
886,60+,Divorced,5,11
887,46-60,Single,4,6
888,60+,Single,1,1
889,26-35,Unknown,1,1
890,60+,Divorced,3,8
891,26-35,Married,3,9
892,26-35,Unknown,5,2
893,36-45,Divorced,2,10
894,46-60,Unknown,1,10
895,18-25,Married,5,6
896,46-60,Unknown,5,2
897,60+,Unknown,3,9
898,60+,Married,5,1
899,18-25,Married,1,7
900,36-45,Unknown,4,12
901,46-60,Single,4,10
902,36-45,Unknown,4,7
903,18-25,Unknown,5,11
904,60+,Divorced,2,2
905,26-35,Married,1,12
906,46-60,Unknown,5,3
907,18-25,Divorced,2,4
908,18-25,Divorced,5,7
909,46-60,Unknown,3,6
910,26-35,Divorced,2,6
911,60+,Divorced,2,8
912,60+,Single,4,5
913,18-25,Married,2,11
914,36-45,Single,5,6
915,36-45,Unknown,3,7
916,60+,Unknown,3,3
917,26-35,Divorced,5,1
918,60+,Unknown,5,12
919,46-60,Unknown,2,4
920,46-60,Married,5,8
921,18-25,Single,5,3
922,60+,Divorced,4,6
923,60+,Unknown,5,4
924,46-60,Unknown,5,6
925,36-45,Single,5,12
926,18-25,Single,4,2
927,46-60,Divorced,1,12
928,46-60,Divorced,2,1
929,26-35,Single,5,3
930,36-45,Married,4,4
931,60+,Unknown,1,2
932,26-35,Married,3,11
933,36-45,Unknown,1,10
934,36-45,Single,5,8
935,26-35,Divorced,2,6
936,36-45,Married,3,4
937,36-45,Married,1,12
938,18-25,Divorced,1,12
939,36-45,Single,1,8
940,26-35,Married,4,2
941,60+,Married,1,12
942,60+,Divorced,2,5
943,36-45,Married,3,5
944,18-25,Divorced,1,6
945,46-60,Married,2,8
946,46-60,Married,2,1
947,60+,Divorced,1,9
948,18-25,Unknown,4,7
949,36-45,Unknown,2,6
950,60+,Divorced,4,2
951,60+,Single,2,2
952,26-35,Divorced,4,8
953,46-60,Unknown,5,10
954,18-25,Divorced,3,10
955,36-45,Unknown,1,6
956,18-25,Married,2,2
957,46-60,Divorced,5,2
958,60+,Unknown,5,12
959,60+,Divorced,3,2
960,36-45,Married,3,1
961,18-25,Married,4,10
962,26-35,Married,3,5
963,26-35,Divorced,2,8
964,60+,Unknown,5,7
965,26-35,Unknown,4,3
966,46-60,Single,2,2
967,60+,Unknown,3,11
968,60+,Unknown,4,11
969,18-25,Married,5,2
970,46-60,Single,1,1
971,26-35,Single,2,12
972,46-60,Single,4,2
973,60+,Single,5,12
974,46-60,Divorced,4,10
975,46-60,Divorced,5,4
976,60+,Unknown,2,2
977,60+,Married,1,3
978,46-60,Single,5,10
979,46-60,Unknown,4,8
980,60+,Unknown,5,10
981,46-60,Divorced,4,4
982,18-25,Unknown,4,6
983,36-45,Married,1,10
984,18-25,Married,4,12
985,18-25,Unknown,3,1
986,26-35,Divorced,2,2
987,36-45,Single,1,6
988,60+,Divorced,1,7
989,60+,Divorced,5,5
990,36-45,Married,5,7
991,60+,Married,4,1
992,26-35,Divorced,2,3
993,36-45,Unknown,3,1
994,36-45,Divorced,3,10
995,18-25,Divorced,3,4
996,60+,Unknown,1,11
997,26-35,Unknown,1,5
998,18-25,Married,3,6
999,46-60,Divorced,4,10
1000,26-35,Married,2,10
1001,46-60,Single,1,4
1002,18-25,Married,3,8
1003,26-35,Unknown,4,5
1004,26-35,Single,2,11
1005,46-60,Single,4,2
1006,60+,Unknown,5,8
1007,60+,Unknown,4,4
1008,36-45,Married,5,11
1009,18-25,Divorced,4,10
1010,60+,Single,3,3
1011,26-35,Divorced,1,9
